season,scope,team,fgm,fg_att,fg_pct,fg_1_19,fg_20_29,fg_30_39,fg_40_49,fg_50_59,fg_60_plus,source
2025,full_season,49ers,33,36,91.7,0-0,8-7,10-9,11-11,6-5,1-0,user_pdf_nfl
2025,full_season,Bears,33,39,84.6,0-0,5-5,12-11,16-13,6-4,0-0,user_pdf_nfl
2025,full_season,Bengals,25,28,89.3,0-0,4-4,6-6,10-10,6-4,2-1,user_pdf_nfl
2025,full_season,Bills,19,21,90.5,0-0,4-4,8-7,7-7,2-1,0-0,user_pdf_nfl
2025,full_season,Broncos,28,32,87.5,0-0,10-10,11-11,5-3,6-4,0-0,user_pdf_nfl
2025,full_season,Browns,24,27,88.9,0-0,4-4,11-10,6-5,6-5,0-0,user_pdf_nfl
2025,full_season,Buccaneers,32,38,84.2,0-0,6-6,11-8,9-6,11-10,1-1,user_pdf_nfl
2025,full_season,Cardinals,25,33,75.8,0-0,5-5,8-7,10-7,9-6,1-0,user_pdf_nfl
2025,full_season,Chargers,38,41,92.7,0-0,7-7,15-14,13-12,6-5,0-0,user_pdf_nfl
2025,full_season,Chiefs,33,38,86.8,1-1,9-9,9-9,11-9,8-5,0-0,user_pdf_nfl
2025,full_season,Colts,34,36,94.4,0-0,8-8,12-12,7-7,8-6,1-1,user_pdf_nfl
2025,full_season,Commanders,23,30,76.7,0-0,6-5,6-5,7-7,11-6,0-0,user_pdf_nfl
2025,full_season,Cowboys,36,42,85.7,0-0,10-10,5-5,10-10,13-8,4-3,user_pdf_nfl
2025,full_season,Dolphins,27,29,93.1,0-0,5-5,9-8,11-11,4-3,0-0,user_pdf_nfl
2025,full_season,Eagles,20,27,74.1,0-0,3-3,6-6,10-7,8-4,0-0,user_pdf_nfl
2025,full_season,Falcons,32,39,82,0-0,3-3,13-11,12-10,11-8,0-0,user_pdf_nfl
2025,full_season,Giants,23,26,88.5,1-1,8-8,10-10,4-3,3-1,0-0,user_pdf_nfl
2025,full_season,Jaguars,30,34,88.2,0-0,5-5,9-9,10-8,8-6,2-2,user_pdf_nfl
2025,full_season,Jets,28,29,96.6,0-0,5-5,9-9,7-7,8-7,0-0,user_pdf_nfl
2025,full_season,Lions,27,34,79.4,0-0,6-6,8-8,11-9,8-4,1-0,user_pdf_nfl
2025,full_season,Packers,28,34,82.4,0-0,10-10,10-10,8-4,4-3,2-1,user_pdf_nfl
2025,full_season,Panthers,24,29,82.8,0-0,6-6,9-8,9-8,5-2,0-0,user_pdf_nfl
2025,full_season,Patriots,27,32,84.4,2-2,6-6,9-8,11-7,4-4,0-0,user_pdf_nfl
2025,full_season,Raiders,22,27,81.5,0-0,5-5,6-6,8-6,7-4,1-1,user_pdf_nfl
2025,full_season,Rams,22,28,78.6,0-0,7-6,8-6,10-8,3-2,0-0,user_pdf_nfl
2025,full_season,Ravens,30,34,88.2,0-0,10-10,11-11,9-8,4-1,0-0,user_pdf_nfl
2025,full_season,Saints,30,42,71.4,0-0,8-8,12-10,10-5,11-7,1-0,user_pdf_nfl
2025,full_season,Seahawks,41,48,85.4,0-0,6-5,15-14,15-13,11-9,1-0,user_pdf_nfl
2025,full_season,Steelers,27,32,84.4,0-0,6-6,4-2,11-10,10-8,1-1,user_pdf_nfl
2025,full_season,Texans,48,52,92.3,0-0,9-9,12-12,18-18,13-9,0-0,user_pdf_nfl
2025,full_season,Titans,29,36,80.6,0-0,6-6,6-6,10-8,12-9,2-0,user_pdf_nfl
2025,full_season,Vikings,33,35,94.3,0-0,6-6,9-9,7-7,12-10,1-1,user_pdf_nfl
