season,scope,team,return_avg,returns,return_yards,kick_return_td,returns_20_plus,returns_40_plus,long_return,fair_catches,fumbles,field_goals_blocked,source
2025,full_season,49ers,27.2,51,1385,0,41,5,98,0,0,0,user_pdf_nfl
2025,full_season,Bears,26.4,68,1792,0,60,4,56,0,2,1,user_pdf_nfl
2025,full_season,Bengals,25.4,81,2058,1,70,2,98T,0,0,1,user_pdf_nfl
2025,full_season,Bills,27.9,66,1842,1,56,8,97T,0,0,1,user_pdf_nfl
2025,full_season,Broncos,25.3,59,1491,0,51,1,46,0,0,0,user_pdf_nfl
2025,full_season,Browns,23.7,67,1587,0,54,0,34,0,0,1,user_pdf_nfl
2025,full_season,Buccaneers,24.3,61,1484,0,50,1,44,0,1,0,user_pdf_nfl
2025,full_season,Cardinals,25,79,1979,0,70,1,43,0,2,1,user_pdf_nfl
2025,full_season,Chargers,24.7,66,1633,0,55,1,40,0,1,0,user_pdf_nfl
2025,full_season,Chiefs,26.2,66,1727,0,59,1,47,0,0,0,user_pdf_nfl
2025,full_season,Colts,28.8,67,1927,0,60,7,81,0,1,1,user_pdf_nfl
2025,full_season,Commanders,27,71,1918,0,60,6,69,0,2,1,user_pdf_nfl
2025,full_season,Cowboys,25.6,82,2097,0,72,3,84,1,0,1,user_pdf_nfl
2025,full_season,Dolphins,26.4,65,1716,0,59,5,54,0,1,2,user_pdf_nfl
2025,full_season,Eagles,23.9,59,1411,0,49,1,41,0,2,2,user_pdf_nfl
2025,full_season,Falcons,22.8,67,1531,0,49,2,47,0,2,0,user_pdf_nfl
2025,full_season,Giants,27.7,70,1942,1,63,2,95T,0,1,0,user_pdf_nfl
2025,full_season,Jaguars,27.4,58,1591,0,52,5,54,0,1,0,user_pdf_nfl
2025,full_season,Jets,29.9,74,2210,1,69,7,99T,0,2,1,user_pdf_nfl
2025,full_season,Lions,26.6,66,1756,0,62,3,44,0,0,0,user_pdf_nfl
2025,full_season,Packers,25.2,60,1509,0,53,0,36,0,0,0,user_pdf_nfl
2025,full_season,Panthers,24.2,54,1304,0,45,1,45,0,1,1,user_pdf_nfl
2025,full_season,Patriots,25.5,57,1451,1,48,2,90T,0,1,0,user_pdf_nfl
2025,full_season,Raiders,27.1,68,1845,0,62,2,54,0,1,0,user_pdf_nfl
2025,full_season,Rams,25.1,59,1479,0,52,1,46,0,0,1,user_pdf_nfl
2025,full_season,Ravens,25.8,74,1911,0,65,3,43,0,1,0,user_pdf_nfl
2025,full_season,Saints,25.2,66,1665,0,55,3,75,0,0,2,user_pdf_nfl
2025,full_season,Seahawks,28,46,1287,1,37,4,100T,0,1,2,user_pdf_nfl
2025,full_season,Steelers,24.2,63,1524,0,54,0,37,0,2,0,user_pdf_nfl
2025,full_season,Texans,26.1,54,1407,0,43,2,69,0,1,2,user_pdf_nfl
2025,full_season,Titans,25.7,65,1669,0,59,3,71,0,1,0,user_pdf_nfl
2025,full_season,Vikings,26,67,1741,0,58,1,61,0,2,2,user_pdf_nfl
