season,scope,team,kickoffs,kickoff_yards,touchbacks,touchback_pct,returns,return_avg,onside_kicks,onside_recovered,out_of_bounds,source
2025,full_season,49ers,96,5838,22,22.9,72,25.5,1,0,1,user_pdf_nfl
2025,full_season,Bears,96,5785,22,22.9,69,26.5,2,1,3,user_pdf_nfl
2025,full_season,Bengals,89,5373,11,12.4,75,26.3,3,1,0,user_pdf_nfl
2025,full_season,Bills,96,5690,11,11.5,81,26.1,2,0,2,user_pdf_nfl
2025,full_season,Broncos,88,5506,21,23.9,65,27.6,0,0,2,user_pdf_nfl
2025,full_season,Browns,68,3998,13,19.1,52,27.8,3,1,0,user_pdf_nfl
2025,full_season,Buccaneers,84,5065,21,25,60,28.2,2,0,1,user_pdf_nfl
2025,full_season,Cardinals,82,4868,20,24.4,56,28.7,3,0,3,user_pdf_nfl
2025,full_season,Chargers,90,5566,16,17.8,71,27.7,0,0,3,user_pdf_nfl
2025,full_season,Chiefs,87,5302,13,14.9,71,25.6,1,0,2,user_pdf_nfl
2025,full_season,Colts,101,5925,6,5.9,89,25.6,3,0,3,user_pdf_nfl
2025,full_season,Commanders,76,4483,14,18.4,55,23.6,4,0,3,user_pdf_nfl
2025,full_season,Cowboys,101,6071,17,16.8,79,25.7,1,0,4,user_pdf_nfl
2025,full_season,Dolphins,79,4728,14,17.7,61,26.8,2,0,2,user_pdf_nfl
2025,full_season,Eagles,82,4893,13,15.8,67,24,1,0,1,user_pdf_nfl
2025,full_season,Falcons,84,5142,23,27.4,55,30,1,0,5,user_pdf_nfl
2025,full_season,Giants,86,5152,14,16.3,65,24.6,2,0,5,user_pdf_nfl
2025,full_season,Jaguars,97,5906,37,38.1,56,27.2,1,0,3,user_pdf_nfl
2025,full_season,Jets,72,4199,10,13.9,56,26.3,4,0,2,user_pdf_nfl
2025,full_season,Lions,99,6058,17,17.2,77,26,1,0,5,user_pdf_nfl
2025,full_season,Packers,85,5337,20,23.5,64,25.8,0,0,1,user_pdf_nfl
2025,full_season,Panthers,73,4195,10,13.7,60,22.6,2,1,1,user_pdf_nfl
2025,full_season,Patriots,96,5799,25,26,68,25.3,1,0,2,user_pdf_nfl
2025,full_season,Raiders,63,3692,11,17.5,47,28,3,0,2,user_pdf_nfl
2025,full_season,Rams,103,6430,59,57.3,43,19.5,0,0,1,user_pdf_nfl
2025,full_season,Ravens,94,5512,10,10.6,75,25.2,1,0,8,user_pdf_nfl
2025,full_season,Saints,76,4567,25,32.9,46,27.5,2,1,4,user_pdf_nfl
2025,full_season,Seahawks,103,6340,18,17.5,81,24,0,0,3,user_pdf_nfl
2025,full_season,Steelers,88,5262,7,8,76,25.2,2,0,3,user_pdf_nfl
2025,full_season,Texans,96,6026,24,25,71,26.7,0,0,1,user_pdf_nfl
2025,full_season,Titans,72,4318,17,23.6,48,24.9,3,0,4,user_pdf_nfl
2025,full_season,Vikings,83,5048,15,18.1,65,26.5,1,0,2,user_pdf_nfl
