season,scope,team,return_avg,returns,return_yards,punt_return_td,returns_20_plus,returns_40_plus,long_return,fair_catches,fumbles,source
2025,full_season,49ers,11.6,25,291,0,2,1,66,7,1,user_pdf_nfl
2025,full_season,Bears,11,21,231,0,1,0,22,16,0,user_pdf_nfl
2025,full_season,Bengals,9.6,23,220,0,3,1,43,16,0,user_pdf_nfl
2025,full_season,Bills,6.5,30,194,0,1,0,28,14,2,user_pdf_nfl
2025,full_season,Broncos,14.2,34,481,1,7,2,70,25,2,user_pdf_nfl
2025,full_season,Browns,7.2,32,232,0,1,1,44,27,5,user_pdf_nfl
2025,full_season,Buccaneers,11.2,26,291,0,3,2,54,15,2,user_pdf_nfl
2025,full_season,Cardinals,11.4,19,217,0,3,1,40,5,0,user_pdf_nfl
2025,full_season,Chargers,6.5,21,136,0,1,0,33,25,0,user_pdf_nfl
2025,full_season,Chiefs,8.1,32,259,0,4,1,44,16,2,user_pdf_nfl
2025,full_season,Colts,9.1,22,201,0,3,0,24,13,1,user_pdf_nfl
2025,full_season,Commanders,12.1,26,315,2,4,2,90T,9,3,user_pdf_nfl
2025,full_season,Cowboys,6.3,13,82,0,0,0,19,15,1,user_pdf_nfl
2025,full_season,Dolphins,13.3,21,279,1,2,1,74T,11,0,user_pdf_nfl
2025,full_season,Eagles,10.9,22,239,0,1,0,22,28,3,user_pdf_nfl
2025,full_season,Falcons,7,24,168,0,0,0,17,16,2,user_pdf_nfl
2025,full_season,Giants,8.6,26,223,0,2,0,21,15,0,user_pdf_nfl
2025,full_season,Jaguars,13.7,26,356,2,3,3,87T,15,2,user_pdf_nfl
2025,full_season,Jets,13.4,34,456,2,3,2,78T,14,0,user_pdf_nfl
2025,full_season,Lions,8.3,35,291,1,3,1,65T,14,0,user_pdf_nfl
2025,full_season,Packers,5.6,26,146,0,1,0,20,10,1,user_pdf_nfl
2025,full_season,Panthers,7.3,24,176,0,0,0,16,14,1,user_pdf_nfl
2025,full_season,Patriots,17.3,21,363,2,3,3,94T,20,2,user_pdf_nfl
2025,full_season,Raiders,6,29,173,0,1,0,25,14,1,user_pdf_nfl
2025,full_season,Rams,9.2,28,259,0,3,0,31,23,0,user_pdf_nfl
2025,full_season,Ravens,12.4,16,198,0,2,0,35,8,1,user_pdf_nfl
2025,full_season,Saints,9.1,24,219,0,1,1,40,20,0,user_pdf_nfl
2025,full_season,Seahawks,15.4,29,448,2,5,2,95,26,0,user_pdf_nfl
2025,full_season,Steelers,8.8,28,247,0,1,0,25,10,1,user_pdf_nfl
2025,full_season,Texans,10.6,34,360,0,4,2,53,19,0,user_pdf_nfl
2025,full_season,Titans,16.6,24,399,2,6,3,90T,25,1,user_pdf_nfl
2025,full_season,Vikings,9.5,32,303,0,4,1,43,17,2,user_pdf_nfl
