season,scope,team,net_avg,net_yards,punts,avg,long,punt_yards,inside_20,out_of_bounds,downed,touchbacks,fair_catches,returns,return_yards,source
2025,full_season,49ers,36.8,1618,44,43.6,55,1919,22,1,4,1,16,22,281,user_pdf_nfl
2025,full_season,Bears,40.4,2424,60,47.8,69,2870,21,10,8,7,9,26,306,user_pdf_nfl
2025,full_season,Bengals,42.9,2788,65,50.5,70,3285,28,4,10,11,12,28,277,user_pdf_nfl
2025,full_season,Bills,41,2011,49,44.7,62,2189,21,5,7,3,18,16,118,user_pdf_nfl
2025,full_season,Broncos,41.1,3085,75,47.6,76,3573,30,11,3,9,23,29,308,user_pdf_nfl
2025,full_season,Browns,37.6,3423,91,45.8,67,4165,23,14,8,11,17,41,522,user_pdf_nfl
2025,full_season,Buccaneers,40.2,2530,63,44.7,62,2815,29,4,10,4,21,24,205,user_pdf_nfl
2025,full_season,Cardinals,43.3,2555,59,49.6,65,2927,21,4,6,3,17,29,312,user_pdf_nfl
2025,full_season,Chargers,41.4,2486,60,47.8,60,2871,23,5,7,4,23,21,305,user_pdf_nfl
2025,full_season,Chiefs,41.3,2313,56,47.6,69,2664,25,5,8,3,16,24,291,user_pdf_nfl
2025,full_season,Colts,44.7,1966,44,48.8,59,2146,22,4,3,3,15,19,120,user_pdf_nfl
2025,full_season,Commanders,43.9,2457,56,47.3,71,2651,29,0,9,4,18,25,114,user_pdf_nfl
2025,full_season,Cowboys,42.6,1748,41,48.6,66,1994,14,1,1,0,13,26,246,user_pdf_nfl
2025,full_season,Dolphins,42.6,2686,63,47.7,64,3005,21,5,11,3,19,25,259,user_pdf_nfl
2025,full_season,Eagles,42.8,3081,72,49.9,70,3591,20,12,7,8,11,34,350,user_pdf_nfl
2025,full_season,Falcons,40.6,2598,64,45.1,69,2889,34,8,6,3,17,30,231,user_pdf_nfl
2025,full_season,Giants,36.9,2179,59,44.5,69,2627,17,6,4,4,18,27,368,user_pdf_nfl
2025,full_season,Jaguars,43,2580,60,48,66,2878,22,13,5,6,9,27,178,user_pdf_nfl
2025,full_season,Jets,43.2,3064,71,46.7,72,3317,32,1,18,6,25,21,133,user_pdf_nfl
2025,full_season,Lions,42.8,2398,56,46.6,70,2611,28,2,4,2,26,22,173,user_pdf_nfl
2025,full_season,Packers,43.9,2151,49,51.7,72,2533,18,5,3,8,12,21,222,user_pdf_nfl
2025,full_season,Panthers,40.5,2269,56,47.2,68,2642,27,6,7,3,16,24,313,user_pdf_nfl
2025,full_season,Patriots,40.6,2071,51,47.4,79,2416,21,6,4,4,15,22,245,user_pdf_nfl
2025,full_season,Raiders,40.7,2929,72,47.4,64,3409,24,18,4,4,13,33,400,user_pdf_nfl
2025,full_season,Rams,38,1899,50,46.3,68,2315,20,10,5,4,10,21,336,user_pdf_nfl
2025,full_season,Ravens,44.9,2378,53,50.1,74,2657,24,7,11,6,6,23,159,user_pdf_nfl
2025,full_season,Saints,38.6,2163,56,44.8,61,2511,18,6,10,4,11,25,268,user_pdf_nfl
2025,full_season,Seahawks,42.2,2193,52,49,60,2548,20,6,7,3,17,19,295,user_pdf_nfl
2025,full_season,Steelers,41.7,2588,62,45.5,67,2823,26,3,9,3,22,25,175,user_pdf_nfl
2025,full_season,Texans,41.6,2998,72,47.6,73,3424,30,10,10,5,14,33,326,user_pdf_nfl
2025,full_season,Titans,40.4,3147,78,46.8,65,3653,22,6,6,7,21,38,366,user_pdf_nfl
2025,full_season,Vikings,44.5,2893,65,49,77,3184,25,7,6,3,22,27,231,user_pdf_nfl
