season,scope,team,fgm,fg_pct,xpm,xp_pct,kick_return_td,punt_return_td,source
2025,full_season,49ers,33,91.7,40,90.9,0,0,user_pdf_nfl
2025,full_season,Bears,33,84.6,42,100,0,0,user_pdf_nfl
2025,full_season,Bengals,25,89.3,41,93.2,1,0,user_pdf_nfl
2025,full_season,Bills,19,90.5,48,90.6,1,0,user_pdf_nfl
2025,full_season,Broncos,28,87.5,39,100,0,1,user_pdf_nfl
2025,full_season,Browns,24,88.9,25,96.2,0,0,user_pdf_nfl
2025,full_season,Buccaneers,32,84.2,32,97,0,0,user_pdf_nfl
2025,full_season,Cardinals,25,75.8,36,100,0,0,user_pdf_nfl
2025,full_season,Chargers,38,92.7,34,97.1,0,0,user_pdf_nfl
2025,full_season,Chiefs,33,86.8,31,88.6,0,0,user_pdf_nfl
2025,full_season,Colts,34,94.4,42,93.3,0,0,user_pdf_nfl
2025,full_season,Commanders,23,76.7,33,97.1,0,2,user_pdf_nfl
2025,full_season,Cowboys,36,85.7,47,97.9,0,0,user_pdf_nfl
2025,full_season,Dolphins,27,93.1,34,97.1,0,1,user_pdf_nfl
2025,full_season,Eagles,20,74.1,41,97.6,0,0,user_pdf_nfl
2025,full_season,Falcons,32,82,31,93.9,0,0,user_pdf_nfl
2025,full_season,Giants,23,88.5,36,87.8,1,0,user_pdf_nfl
2025,full_season,Jaguars,30,88.2,50,98,0,2,user_pdf_nfl
2025,full_season,Jets,28,96.6,22,100,1,2,user_pdf_nfl
2025,full_season,Lions,27,79.4,54,96.4,0,1,user_pdf_nfl
2025,full_season,Packers,28,82.4,39,92.9,0,0,user_pdf_nfl
2025,full_season,Panthers,24,82.8,27,90,0,0,user_pdf_nfl
2025,full_season,Patriots,27,84.4,53,96.4,1,2,user_pdf_nfl
2025,full_season,Raiders,22,81.5,21,95.4,0,0,user_pdf_nfl
2025,full_season,Rams,22,78.6,62,95.4,0,0,user_pdf_nfl
2025,full_season,Ravens,30,88.2,44,95.6,0,0,user_pdf_nfl
2025,full_season,Saints,30,71.4,28,100,0,0,user_pdf_nfl
2025,full_season,Seahawks,41,85.4,48,100,1,2,user_pdf_nfl
2025,full_season,Steelers,27,84.4,42,97.7,0,0,user_pdf_nfl
2025,full_season,Texans,48,92.3,30,100,0,0,user_pdf_nfl
2025,full_season,Titans,29,80.6,27,96.4,0,2,user_pdf_nfl
2025,full_season,Vikings,33,94.3,31,100,0,0,user_pdf_nfl
