season,scope,team,third_att_allowed,third_made_allowed,fourth_att_allowed,fourth_made_allowed,rec_first_downs_allowed,rec_first_down_pct_allowed,rush_first_downs_allowed,rush_first_down_pct_allowed,source
2025,full_season,49ers,192,77,22,12,199,50,115,27.1,user_pdf_nfl
2025,full_season,Bears,191,78,23,11,190,53.5,125,27.4,user_pdf_nfl
2025,full_season,Bengals,205,89,27,18,201,57.8,130,27.1,user_pdf_nfl
2025,full_season,Bills,203,84,19,10,144,52,130,28.9,user_pdf_nfl
2025,full_season,Broncos,237,80,27,14,171,49.8,85,21.2,user_pdf_nfl
2025,full_season,Browns,226,82,18,7,161,52.3,102,21.5,user_pdf_nfl
2025,full_season,Buccaneers,200,79,30,14,206,54.4,86,21.7,user_pdf_nfl
2025,full_season,Cardinals,209,90,25,12,215,57.3,134,27.4,user_pdf_nfl
2025,full_season,Chargers,199,70,25,13,151,49.2,104,25,user_pdf_nfl
2025,full_season,Chiefs,225,98,23,6,158,46.5,103,23,user_pdf_nfl
2025,full_season,Colts,219,93,28,15,216,54.4,123,27.5,user_pdf_nfl
2025,full_season,Commanders,213,88,32,20,216,61.7,130,25.8,user_pdf_nfl
2025,full_season,Cowboys,201,95,21,13,208,54.6,136,30.1,user_pdf_nfl
2025,full_season,Dolphins,208,83,28,20,186,50.1,119,25.4,user_pdf_nfl
2025,full_season,Eagles,227,92,29,11,157,50.8,133,26.9,user_pdf_nfl
2025,full_season,Falcons,218,87,32,19,179,54.1,120,25.8,user_pdf_nfl
2025,full_season,Giants,199,78,22,16,195,54.5,131,28.2,user_pdf_nfl
2025,full_season,Jaguars,218,88,31,11,197,49.8,85,23,user_pdf_nfl
2025,full_season,Jets,212,79,22,16,205,61,133,24.7,user_pdf_nfl
2025,full_season,Lions,214,79,32,21,193,56.4,99,22.2,user_pdf_nfl
2025,full_season,Packers,218,86,36,20,178,49.4,120,25.2,user_pdf_nfl
2025,full_season,Panthers,210,99,22,14,180,53.6,121,25.3,user_pdf_nfl
2025,full_season,Patriots,200,77,30,10,171,48.9,104,25.3,user_pdf_nfl
2025,full_season,Raiders,229,106,21,13,175,48.8,126,24.7,user_pdf_nfl
2025,full_season,Rams,226,82,42,23,192,50.9,106,24.3,user_pdf_nfl
2025,full_season,Ravens,230,87,41,23,198,49.6,109,25.1,user_pdf_nfl
2025,full_season,Saints,213,73,34,18,162,51.9,122,23.6,user_pdf_nfl
2025,full_season,Seahawks,234,75,45,23,176,46.9,83,19.9,user_pdf_nfl
2025,full_season,Steelers,236,98,38,28,202,51,122,27,user_pdf_nfl
2025,full_season,Texans,221,80,21,10,162,50.8,80,20,user_pdf_nfl
2025,full_season,Titans,204,81,16,12,195,55.1,107,23.6,user_pdf_nfl
2025,full_season,Vikings,223,77,24,16,132,47.3,144,27.2,user_pdf_nfl
