season,scope,team,forced_fumbles,fumble_recoveries,fumble_return_td,rec_fumbles,rush_fumbles,source
2025,full_season,49ers,13,10,0,5,6,user_pdf_nfl
2025,full_season,Bears,12,8,0,2,9,user_pdf_nfl
2025,full_season,Bengals,11,7,0,4,4,user_pdf_nfl
2025,full_season,Bills,13,7,1,3,5,user_pdf_nfl
2025,full_season,Broncos,9,4,0,2,2,user_pdf_nfl
2025,full_season,Browns,15,7,1,3,10,user_pdf_nfl
2025,full_season,Buccaneers,12,10,0,5,9,user_pdf_nfl
2025,full_season,Cardinals,13,9,2,4,6,user_pdf_nfl
2025,full_season,Chargers,10,4,0,1,4,user_pdf_nfl
2025,full_season,Chiefs,8,4,0,4,5,user_pdf_nfl
2025,full_season,Colts,10,7,0,2,5,user_pdf_nfl
2025,full_season,Commanders,11,2,0,3,6,user_pdf_nfl
2025,full_season,Cowboys,11,6,0,3,4,user_pdf_nfl
2025,full_season,Dolphins,11,11,0,3,7,user_pdf_nfl
2025,full_season,Eagles,12,8,0,1,11,user_pdf_nfl
2025,full_season,Falcons,12,7,0,5,5,user_pdf_nfl
2025,full_season,Giants,9,5,1,2,4,user_pdf_nfl
2025,full_season,Jaguars,11,9,0,4,4,user_pdf_nfl
2025,full_season,Jets,9,4,0,1,9,user_pdf_nfl
2025,full_season,Lions,15,6,0,7,5,user_pdf_nfl
2025,full_season,Packers,8,7,0,1,4,user_pdf_nfl
2025,full_season,Panthers,9,6,0,2,5,user_pdf_nfl
2025,full_season,Patriots,10,9,1,5,5,user_pdf_nfl
2025,full_season,Raiders,10,8,0,3,7,user_pdf_nfl
2025,full_season,Rams,12,9,0,8,2,user_pdf_nfl
2025,full_season,Ravens,14,9,1,2,8,user_pdf_nfl
2025,full_season,Saints,11,9,2,2,6,user_pdf_nfl
2025,full_season,Seahawks,9,7,2,3,3,user_pdf_nfl
2025,full_season,Steelers,17,11,2,2,9,user_pdf_nfl
2025,full_season,Texans,14,10,3,5,4,user_pdf_nfl
2025,full_season,Titans,7,7,1,2,3,user_pdf_nfl
2025,full_season,Vikings,18,12,1,5,10,user_pdf_nfl
