season,scope,team,interceptions,interception_td,interception_yards,long_interception_return,source
2025,full_season,49ers,6,1,168,74T,user_pdf_nfl
2025,full_season,Bears,23,2,348,74,user_pdf_nfl
2025,full_season,Bengals,13,1,125,39T,user_pdf_nfl
2025,full_season,Bills,13,1,140,63T,user_pdf_nfl
2025,full_season,Broncos,10,1,168,45T,user_pdf_nfl
2025,full_season,Browns,11,3,292,97,user_pdf_nfl
2025,full_season,Buccaneers,13,2,120,55,user_pdf_nfl
2025,full_season,Cardinals,10,0,51,18,user_pdf_nfl
2025,full_season,Chargers,19,0,127,27,user_pdf_nfl
2025,full_season,Chiefs,10,0,64,23,user_pdf_nfl
2025,full_season,Colts,14,1,107,32T,user_pdf_nfl
2025,full_season,Commanders,8,0,113,55,user_pdf_nfl
2025,full_season,Cowboys,6,1,120,68T,user_pdf_nfl
2025,full_season,Dolphins,9,0,102,38,user_pdf_nfl
2025,full_season,Eagles,12,1,127,42T,user_pdf_nfl
2025,full_season,Falcons,16,1,173,59T,user_pdf_nfl
2025,full_season,Giants,9,0,226,68,user_pdf_nfl
2025,full_season,Jaguars,22,2,312,99,user_pdf_nfl
2025,full_season,Jets,0,0,0,0,user_pdf_nfl
2025,full_season,Lions,13,0,132,58,user_pdf_nfl
2025,full_season,Packers,7,0,0,0,user_pdf_nfl
2025,full_season,Panthers,15,2,220,54T,user_pdf_nfl
2025,full_season,Patriots,10,1,156,37T,user_pdf_nfl
2025,full_season,Raiders,8,0,63,26,user_pdf_nfl
2025,full_season,Rams,16,1,240,56T,user_pdf_nfl
2025,full_season,Ravens,11,1,242,61T,user_pdf_nfl
2025,full_season,Saints,10,1,99,49T,user_pdf_nfl
2025,full_season,Seahawks,18,1,252,85T,user_pdf_nfl
2025,full_season,Steelers,15,1,182,73T,user_pdf_nfl
2025,full_season,Texans,19,1,126,31T,user_pdf_nfl
2025,full_season,Titans,6,1,76,35T,user_pdf_nfl
2025,full_season,Vikings,8,1,154,87T,user_pdf_nfl
