season,scope,team,rec_allowed,rec_yds_allowed,yds_per_rec_allowed,rec_td_allowed,rec_20_plus_allowed,rec_40_plus_allowed,long_rec_allowed,rec_first_downs_allowed,rec_first_down_pct_allowed,rec_fumbles,source
2025,full_season,49ers,398,4110,10.3,29,45,5,50,199,50,5,user_pdf_nfl
2025,full_season,Bears,355,4067,11.5,32,61,9,64,190,53.5,2,user_pdf_nfl
2025,full_season,Bengals,348,4175,12,33,60,5,68T,201,57.8,4,user_pdf_nfl
2025,full_season,Bills,277,2894,10.4,19,38,1,40,144,52,3,user_pdf_nfl
2025,full_season,Broncos,343,3606,10.5,18,40,10,63,171,49.8,2,user_pdf_nfl
2025,full_season,Browns,308,3220,10.4,25,43,6,45,161,52.3,3,user_pdf_nfl
2025,full_season,Buccaneers,379,4332,11.4,30,55,10,72T,206,54.4,5,user_pdf_nfl
2025,full_season,Cardinals,375,4128,11,31,52,6,67,215,57.3,4,user_pdf_nfl
2025,full_season,Chargers,307,3314,10.8,16,37,7,75T,151,49.2,1,user_pdf_nfl
2025,full_season,Chiefs,340,3487,10.3,18,45,7,53,158,46.5,4,user_pdf_nfl
2025,full_season,Colts,397,4462,11.2,24,57,5,88T,216,54.4,2,user_pdf_nfl
2025,full_season,Commanders,350,4371,12.5,33,53,13,86T,216,61.7,3,user_pdf_nfl
2025,full_season,Cowboys,381,4521,11.9,35,58,14,65T,208,54.6,3,user_pdf_nfl
2025,full_season,Dolphins,371,3920,10.6,29,50,3,59,186,50.1,3,user_pdf_nfl
2025,full_season,Eagles,309,3476,11.2,14,46,13,77T,157,50.8,1,user_pdf_nfl
2025,full_season,Falcons,331,3773,11.4,27,49,7,58,179,54.1,5,user_pdf_nfl
2025,full_season,Giants,358,3908,10.9,25,49,3,87T,195,54.5,2,user_pdf_nfl
2025,full_season,Jaguars,396,3933,9.9,25,46,6,61T,197,49.8,4,user_pdf_nfl
2025,full_season,Jets,336,3849,11.5,36,57,6,46,205,61,1,user_pdf_nfl
2025,full_season,Lions,342,4027,11.8,31,58,8,64T,193,56.4,7,user_pdf_nfl
2025,full_season,Packers,360,3516,9.8,24,41,6,46T,178,49.4,1,user_pdf_nfl
2025,full_season,Panthers,336,3657,10.9,20,42,9,62T,180,53.6,2,user_pdf_nfl
2025,full_season,Patriots,350,3512,10,25,42,3,53,171,48.9,5,user_pdf_nfl
2025,full_season,Raiders,359,3644,10.2,23,37,9,66T,175,48.8,3,user_pdf_nfl
2025,full_season,Rams,377,3988,10.6,26,52,5,75,192,50.9,8,user_pdf_nfl
2025,full_season,Ravens,399,4403,11,23,64,9,62,198,49.6,2,user_pdf_nfl
2025,full_season,Saints,312,3336,10.7,25,44,7,53T,162,51.9,2,user_pdf_nfl
2025,full_season,Seahawks,375,3619,9.6,20,44,7,65,176,46.9,3,user_pdf_nfl
2025,full_season,Steelers,396,4437,11.2,30,53,7,81,202,51,2,user_pdf_nfl
2025,full_season,Texans,319,3486,10.9,20,47,7,66T,162,50.8,5,user_pdf_nfl
2025,full_season,Titans,354,4221,11.9,30,58,9,63T,195,55.1,2,user_pdf_nfl
2025,full_season,Vikings,279,3021,10.8,15,32,5,80T,132,47.3,5,user_pdf_nfl
