season,scope,team,opp_rush_att,rush_yds_allowed,opp_ypc,rush_td_allowed,rush_20_plus_allowed,rush_40_plus_allowed,long_rush_allowed,rush_first_downs_allowed,rush_first_down_pct_allowed,source
2025,full_season,49ers,424,1833,4.3,13,10,1,48T,115,27.1,user_pdf_nfl
2025,full_season,Bears,457,2287,5,15,13,4,64T,125,27.4,user_pdf_nfl
2025,full_season,Bengals,479,2500,5.2,18,19,3,50,130,27.1,user_pdf_nfl
2025,full_season,Bills,450,2315,5.1,24,13,7,81T,130,28.9,user_pdf_nfl
2025,full_season,Broncos,400,1548,3.9,11,6,2,68,85,21.2,user_pdf_nfl
2025,full_season,Browns,475,1979,4.2,14,14,4,65T,102,21.5,user_pdf_nfl
2025,full_season,Buccaneers,396,1694,4.3,16,11,3,79T,86,21.7,user_pdf_nfl
2025,full_season,Cardinals,489,2158,4.4,19,15,3,50,134,27.4,user_pdf_nfl
2025,full_season,Chargers,416,1791,4.3,16,7,3,52T,104,25,user_pdf_nfl
2025,full_season,Chiefs,448,1797,4,14,5,2,71T,103,23,user_pdf_nfl
2025,full_season,Colts,448,1732,3.9,16,7,1,41,123,27.5,user_pdf_nfl
2025,full_season,Commanders,504,2411,4.8,18,10,3,48,130,25.8,user_pdf_nfl
2025,full_season,Cowboys,452,2133,4.7,24,14,2,72T,136,30.1,user_pdf_nfl
2025,full_season,Dolphins,469,2251,4.8,18,16,6,56,119,25.4,user_pdf_nfl
2025,full_season,Eagles,494,2115,4.3,20,8,1,49,133,26.9,user_pdf_nfl
2025,full_season,Falcons,466,2146,4.6,12,15,2,83T,120,25.8,user_pdf_nfl
2025,full_season,Giants,465,2470,5.3,21,19,6,69T,131,28.2,user_pdf_nfl
2025,full_season,Jaguars,360,1455,3.9,13,5,0,38T,85,23,user_pdf_nfl
2025,full_season,Jets,539,2371,4.4,20,15,3,66,133,24.7,user_pdf_nfl
2025,full_season,Lions,446,1947,4.4,16,10,3,65T,99,22.2,user_pdf_nfl
2025,full_season,Packers,476,2001,4.2,15,8,0,38,120,25.2,user_pdf_nfl
2025,full_season,Panthers,479,2096,4.4,20,13,2,71,121,25.3,user_pdf_nfl
2025,full_season,Patriots,411,1729,4.2,11,9,1,59T,104,25.3,user_pdf_nfl
2025,full_season,Raiders,511,1986,3.9,22,9,2,60T,126,24.7,user_pdf_nfl
2025,full_season,Rams,436,1884,4.3,8,7,2,93T,106,24.3,user_pdf_nfl
2025,full_season,Ravens,434,1813,4.2,18,12,1,72,109,25.1,user_pdf_nfl
2025,full_season,Saints,517,2050,4,12,11,1,52,122,23.6,user_pdf_nfl
2025,full_season,Seahawks,418,1563,3.7,9,5,1,55,83,19.9,user_pdf_nfl
2025,full_season,Steelers,451,1922,4.3,10,8,2,55,122,27,user_pdf_nfl
2025,full_season,Texans,400,1593,4,13,8,2,51T,80,20,user_pdf_nfl
2025,full_season,Titans,453,1948,4.3,21,8,5,80T,107,23.6,user_pdf_nfl
2025,full_season,Vikings,529,2110,4,13,6,0,32,144,27.2,user_pdf_nfl
