season,scope,team,fumble_return_td,safety,interception_return_td,source
2025,full_season,49ers,0,0,1,user_pdf_nfl
2025,full_season,Bears,0,0,2,user_pdf_nfl
2025,full_season,Bengals,0,0,1,user_pdf_nfl
2025,full_season,Bills,1,0,1,user_pdf_nfl
2025,full_season,Broncos,0,0,1,user_pdf_nfl
2025,full_season,Browns,1,0,3,user_pdf_nfl
2025,full_season,Buccaneers,0,1,2,user_pdf_nfl
2025,full_season,Cardinals,2,1,0,user_pdf_nfl
2025,full_season,Chargers,0,1,0,user_pdf_nfl
2025,full_season,Chiefs,0,0,0,user_pdf_nfl
2025,full_season,Colts,0,0,1,user_pdf_nfl
2025,full_season,Commanders,0,1,0,user_pdf_nfl
2025,full_season,Cowboys,0,1,1,user_pdf_nfl
2025,full_season,Dolphins,0,0,0,user_pdf_nfl
2025,full_season,Eagles,0,0,1,user_pdf_nfl
2025,full_season,Falcons,0,0,1,user_pdf_nfl
2025,full_season,Giants,1,0,0,user_pdf_nfl
2025,full_season,Jaguars,0,1,2,user_pdf_nfl
2025,full_season,Jets,0,1,0,user_pdf_nfl
2025,full_season,Lions,0,1,0,user_pdf_nfl
2025,full_season,Packers,0,0,0,user_pdf_nfl
2025,full_season,Panthers,0,0,2,user_pdf_nfl
2025,full_season,Patriots,1,1,1,user_pdf_nfl
2025,full_season,Raiders,0,1,0,user_pdf_nfl
2025,full_season,Rams,0,0,1,user_pdf_nfl
2025,full_season,Ravens,1,0,1,user_pdf_nfl
2025,full_season,Saints,2,0,1,user_pdf_nfl
2025,full_season,Seahawks,2,0,1,user_pdf_nfl
2025,full_season,Steelers,2,1,1,user_pdf_nfl
2025,full_season,Texans,3,0,1,user_pdf_nfl
2025,full_season,Titans,1,1,1,user_pdf_nfl
2025,full_season,Vikings,1,0,1,user_pdf_nfl
