season,scope,team,sacks,combined_tackles,assists,solo_tackles,source
2025,full_season,49ers,20,1047,475,637,user_pdf_nfl
2025,full_season,Bears,35,1024,421,642,user_pdf_nfl
2025,full_season,Bengals,35,1073,501,633,user_pdf_nfl
2025,full_season,Bills,36,921,376,612,user_pdf_nfl
2025,full_season,Broncos,68,1028,473,621,user_pdf_nfl
2025,full_season,Browns,53,1070,491,611,user_pdf_nfl
2025,full_season,Buccaneers,37,955,362,653,user_pdf_nfl
2025,full_season,Cardinals,30,1115,515,648,user_pdf_nfl
2025,full_season,Chargers,45,937,374,626,user_pdf_nfl
2025,full_season,Chiefs,35,1026,448,638,user_pdf_nfl
2025,full_season,Colts,39,1074,440,717,user_pdf_nfl
2025,full_season,Commanders,42,1117,510,675,user_pdf_nfl
2025,full_season,Cowboys,35,1054,464,654,user_pdf_nfl
2025,full_season,Dolphins,39,1082,474,663,user_pdf_nfl
2025,full_season,Eagles,42,1034,424,677,user_pdf_nfl
2025,full_season,Falcons,57,1038,423,673,user_pdf_nfl
2025,full_season,Giants,39,1036,410,675,user_pdf_nfl
2025,full_season,Jaguars,32,989,438,601,user_pdf_nfl
2025,full_season,Jets,26,1108,496,662,user_pdf_nfl
2025,full_season,Lions,49,1001,394,674,user_pdf_nfl
2025,full_season,Packers,36,1097,504,638,user_pdf_nfl
2025,full_season,Panthers,30,1066,499,626,user_pdf_nfl
2025,full_season,Patriots,35,986,426,609,user_pdf_nfl
2025,full_season,Raiders,37,1113,471,696,user_pdf_nfl
2025,full_season,Rams,47,1065,450,651,user_pdf_nfl
2025,full_season,Ravens,30,1057,446,685,user_pdf_nfl
2025,full_season,Saints,45,1081,464,670,user_pdf_nfl
2025,full_season,Seahawks,47,1058,469,666,user_pdf_nfl
2025,full_season,Steelers,48,1106,478,697,user_pdf_nfl
2025,full_season,Texans,47,955,418,601,user_pdf_nfl
2025,full_season,Titans,42,1025,422,655,user_pdf_nfl
2025,full_season,Vikings,49,1106,526,647,user_pdf_nfl
