season,scope,team,third_att,third_made,fourth_att,fourth_made,rec_first_downs,rec_first_down_pct,rush_first_downs,rush_first_down_pct,source
2025,full_season,49ers,213,106,22,13,237,59.6,119,27.0,user_pdf_nfl
2025,full_season,Bears,227,97,29,15,190,56.9,142,28.1,user_pdf_nfl
2025,full_season,Bengals,221,96,20,14,213,51.7,102,26.8,user_pdf_nfl
2025,full_season,Bills,210,94,32,19,196,57,146,26.7,user_pdf_nfl
2025,full_season,Broncos,233,96,20,10,196,50.5,111,24.3,user_pdf_nfl
2025,full_season,Browns,235,79,29,12,134,41.5,100,23.8,user_pdf_nfl
2025,full_season,Buccaneers,228,94,29,13,174,49.6,115,24.4,user_pdf_nfl
2025,full_season,Cardinals,224,93,28,12,216,50.6,91,24.9,user_pdf_nfl
2025,full_season,Chargers,251,115,21,12,185,50.4,117,25.1,user_pdf_nfl
2025,full_season,Chiefs,219,82,32,24,189,52.1,122,28.4,user_pdf_nfl
2025,full_season,Colts,195,83,27,18,199,55.3,122,27.6,user_pdf_nfl
2025,full_season,Commanders,189,71,26,16,159,55.4,123,25.4,user_pdf_nfl
2025,full_season,Cowboys,209,86,35,22,229,54.6,120,25.8,user_pdf_nfl
2025,full_season,Dolphins,192,67,23,11,174,54,104,24.1,user_pdf_nfl
2025,full_season,Eagles,210,78,21,11,166,52.2,114,23.8,user_pdf_nfl
2025,full_season,Falcons,207,69,28,14,185,55.7,113,23.7,user_pdf_nfl
2025,full_season,Giants,224,90,39,18,160,49.5,141,27.6,user_pdf_nfl
2025,full_season,Jaguars,217,85,29,17,196,57,124,25.4,user_pdf_nfl
2025,full_season,Jets,229,80,41,18,136,45.6,115,25.2,user_pdf_nfl
2025,full_season,Lions,214,83,31,18,224,56.8,105,23.8,user_pdf_nfl
2025,full_season,Packers,205,100,25,14,180,54.9,124,25.2,user_pdf_nfl
2025,full_season,Panthers,205,74,40,27,170,51.7,109,23.6,user_pdf_nfl
2025,full_season,Patriots,198,85,25,18,206,57.1,128,25.9,user_pdf_nfl
2025,full_season,Raiders,213,72,32,13,161,47.4,67,18.2,user_pdf_nfl
2025,full_season,Rams,192,76,30,20,236,60.8,126,27.1,user_pdf_nfl
2025,full_season,Ravens,203,83,25,15,141,50.7,146,28.8,user_pdf_nfl
2025,full_season,Saints,223,88,34,14,183,46.1,101,23.2,user_pdf_nfl
2025,full_season,Seahawks,206,82,12,7,179,55.1,125,24.6,user_pdf_nfl
2025,full_season,Steelers,210,84,23,12,160,43.8,109,26.8,user_pdf_nfl
2025,full_season,Texans,231,86,19,11,184,50.6,99,20.8,user_pdf_nfl
2025,full_season,Titans,232,74,35,16,156,45.9,85,22.5,user_pdf_nfl
2025,full_season,Vikings,195,62,24,15,157,52.7,102,24.9,user_pdf_nfl
