season,scope,team,rec,yds,yds_per_rec,td,plays_20_plus,plays_40_plus,long,rec_first_downs,rec_first_down_pct,source
2025,full_season,49ers,398,4318,10.8,33,51,4,56,237,59.6,user_pdf_nfl
2025,full_season,Bears,334,3991,12,28,60,7,65,190,56.9,user_pdf_nfl
2025,full_season,Bengals,412,4244,10.3,36,47,5,64,213,51.7,user_pdf_nfl
2025,full_season,Bills,344,3981,11.6,29,61,9,54,196,57,user_pdf_nfl
2025,full_season,Broncos,388,3931,10.1,25,47,7,52,196,50.5,user_pdf_nfl
2025,full_season,Browns,323,3152,9.8,16,35,7,66,134,41.5,user_pdf_nfl
2025,full_season,Buccaneers,351,3755,10.7,26,55,7,77,174,49.6,user_pdf_nfl
2025,full_season,Cardinals,427,4354,10.2,29,49,5,50T,216,50.6,user_pdf_nfl
2025,full_season,Chargers,367,3953,10.8,26,45,8,60T,185,50.4,user_pdf_nfl
2025,full_season,Chiefs,363,3947,10.9,23,52,9,61,189,52.1,user_pdf_nfl
2025,full_season,Colts,360,4085,11.4,25,44,9,75,199,55.3,user_pdf_nfl
2025,full_season,Commanders,287,3329,11.6,19,40,8,56,159,55.4,user_pdf_nfl
2025,full_season,Cowboys,419,4735,11.3,31,56,12,86,229,54.6,user_pdf_nfl
2025,full_season,Dolphins,322,3322,10.3,23,43,6,63,174,54,user_pdf_nfl
2025,full_season,Eagles,318,3498,11,26,42,9,79,166,52.2,user_pdf_nfl
2025,full_season,Falcons,332,3703,11.2,19,47,8,69T,185,55.7,user_pdf_nfl
2025,full_season,Giants,323,3703,11.5,21,52,9,52,160,49.5,user_pdf_nfl
2025,full_season,Jaguars,344,4026,11.7,29,57,6,63T,196,57,user_pdf_nfl
2025,full_season,Jets,298,2784,9.3,15,26,3,52,136,45.6,user_pdf_nfl
2025,full_season,Lions,394,4567,11.6,35,65,8,64T,224,56.8,user_pdf_nfl
2025,full_season,Packers,328,3845,11.7,26,58,9,59T,180,54.9,user_pdf_nfl
2025,full_season,Panthers,329,3304,10,24,43,4,54,170,51.7,user_pdf_nfl
2025,full_season,Patriots,361,4459,12.4,31,69,6,72,206,57.1,user_pdf_nfl
2025,full_season,Raiders,340,3315,9.8,20,37,3,61,161,47.4,user_pdf_nfl
2025,full_season,Rams,388,4707,12.1,46,72,8,88,236,60.8,user_pdf_nfl
2025,full_season,Ravens,278,3278,11.8,23,43,7,64,141,50.7,user_pdf_nfl
2025,full_season,Saints,397,4027,10.1,19,33,6,87,183,46.1,user_pdf_nfl
2025,full_season,Seahawks,325,4063,12.5,25,57,12,67,179,55.1,user_pdf_nfl
2025,full_season,Steelers,365,3632,10,26,41,7,80,160,43.8,user_pdf_nfl
2025,full_season,Texans,364,3956,10.9,24,48,11,75,184,50.6,user_pdf_nfl
2025,full_season,Titans,340,3241,9.5,15,41,3,47,156,45.9,user_pdf_nfl
2025,full_season,Vikings,298,3208,10.8,18,39,5,81,157,52.7,user_pdf_nfl
