season,scope,team,att,rush_yds,ypc,td,plays_20_plus,plays_40_plus,long,rush_first_downs,rush_first_down_pct,source
2025,full_season,49ers,441,1417,3.8,15,4,1,41,119,27.0,user_pdf_nfl
2025,full_season,Bills,547,2714,5.0,30,16,6,64,146,26.7,user_pdf_nfl
2025,full_season,Broncos,456,2018,4.4,18,11,3,50T,111,24.3,user_pdf_nfl
2025,full_season,Browns,421,1649,3.9,10,6,1,46T,100,23.8,user_pdf_nfl
2025,full_season,Buccaneers,472,1947,4.1,13,9,1,43T,115,24.4,user_pdf_nfl
2025,full_season,Cardinals,366,1583,4.3,9,8,3,71,91,24.9,user_pdf_nfl
2025,full_season,Chargers,466,2067,4.4,10,14,3,59,117,25.1,user_pdf_nfl
2025,full_season,Chiefs,430,1812,4.2,15,3,0,35,122,28.4,user_pdf_nfl
2025,full_season,Colts,442,2007,4.5,27,10,4,83T,122,27.6,user_pdf_nfl
2025,full_season,Commanders,484,2290,4.7,20,11,5,72,123,25.4,user_pdf_nfl
2025,full_season,Cowboys,465,2136,4.6,18,13,3,66T,120,25.8,user_pdf_nfl
2025,full_season,Dolphins,432,2044,4.7,14,16,4,59T,104,24.1,user_pdf_nfl
2025,full_season,Eagles,478,1988,4.2,17,9,3,65T,114,23.8,user_pdf_nfl
2025,full_season,Falcons,477,2138,4.5,17,9,2,93,113,23.7,user_pdf_nfl
2025,full_season,Giants,511,2195,4.3,22,10,0,31T,141,27.6,user_pdf_nfl
2025,full_season,Jaguars,489,1956,4.0,22,9,3,71T,124,25.4,user_pdf_nfl
2025,full_season,Jets,456,2096,4.6,11,13,3,59,115,25.2,user_pdf_nfl
2025,full_season,Lions,442,2041,4.6,21,14,7,78T,105,23.8,user_pdf_nfl
2025,full_season,Packers,492,2037,4.1,18,6,1,40,124,25.2,user_pdf_nfl
2025,full_season,Panthers,461,1977,4.3,9,9,2,53,109,23.6,user_pdf_nfl
2025,full_season,Patriots,494,2191,4.4,22,16,5,69T,128,25.9,user_pdf_nfl
2025,full_season,Raiders,369,1317,3.6,5,5,2,64T,67,18.2,user_pdf_nfl
2025,full_season,Rams,465,2152,4.6,17,12,2,48,126,27.1,user_pdf_nfl
2025,full_season,Ravens,507,2662,5.2,23,25,6,71,146,28.8,user_pdf_nfl
2025,full_season,Saints,435,1603,3.7,9,5,0,34,101,23.2,user_pdf_nfl
2025,full_season,Seahawks,507,2096,4.1,19,18,1,55,125,24.6,user_pdf_nfl
2025,full_season,Steelers,407,1756,4.3,16,11,3,55,109,26.8,user_pdf_nfl
2025,full_season,Texans,475,1852,3.9,9,8,1,50T,99,20.8,user_pdf_nfl
2025,full_season,Titans,378,1589,4.2,9,10,2,65T,85,22.5,user_pdf_nfl
2025,full_season,Vikings,410,1841,4.5,15,7,1,65T,102,24.9,user_pdf_nfl
