season,scope,team,rush_td,rec_td,total_td,two_pt,source
2025,full_season,49ers,15,33,49,2,user_pdf_nfl
2025,full_season,Bears,19,28,49,3,user_pdf_nfl
2025,full_season,Bengals,11,36,49,2,user_pdf_nfl
2025,full_season,Bills,30,29,62,2,user_pdf_nfl
2025,full_season,Broncos,18,25,45,4,user_pdf_nfl
2025,full_season,Browns,10,16,30,1,user_pdf_nfl
2025,full_season,Buccaneers,13,26,41,2,user_pdf_nfl
2025,full_season,Cardinals,9,29,40,1,user_pdf_nfl
2025,full_season,Chargers,10,26,36,1,user_pdf_nfl
2025,full_season,Chiefs,15,23,38,2,user_pdf_nfl
2025,full_season,Colts,27,25,53,2,user_pdf_nfl
2025,full_season,Commanders,20,19,41,3,user_pdf_nfl
2025,full_season,Cowboys,18,31,51,3,user_pdf_nfl
2025,full_season,Dolphins,14,23,38,1,user_pdf_nfl
2025,full_season,Eagles,17,26,46,1,user_pdf_nfl
2025,full_season,Falcons,17,19,37,2,user_pdf_nfl
2025,full_season,Giants,22,21,45,3,user_pdf_nfl
2025,full_season,Jaguars,22,29,55,1,user_pdf_nfl
2025,full_season,Jets,11,15,30,6,user_pdf_nfl
2025,full_season,Lions,21,35,57,1,user_pdf_nfl
2025,full_season,Packers,18,26,44,2,user_pdf_nfl
2025,full_season,Panthers,9,24,35,1,user_pdf_nfl
2025,full_season,Patriots,22,31,58,3,user_pdf_nfl
2025,full_season,Raiders,5,20,25,1,user_pdf_nfl
2025,full_season,Rams,17,46,65,0,user_pdf_nfl
2025,full_season,Ravens,23,23,48,1,user_pdf_nfl
2025,full_season,Saints,9,19,31,1,user_pdf_nfl
2025,full_season,Seahawks,19,25,51,3,user_pdf_nfl
2025,full_season,Steelers,16,26,45,1,user_pdf_nfl
2025,full_season,Texans,9,24,38,1,user_pdf_nfl
2025,full_season,Titans,9,15,28,0,user_pdf_nfl
2025,full_season,Vikings,15,18,35,2,user_pdf_nfl
